title,year,genre,runtime,rating,synopsis,director,vote
"Extremely Wicked, Shockingly Evil and Vile",(2019),"
Biography, Crime, Drama            ",110 min,6.6,"
    A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",Joe Berlinger,69956
Adopted in Danger,(2019),"
Thriller            ",90 min,5.1,"
    When a DNA test helps Candace connect with her birth parents, she realizes some family histories are better left untold",Craig Goldstein,81
Kamen Raidâ Birudo Nyû Warudo Kamen Raidâ Kurôzu,(2019),"
Action, Fantasy, Sci-Fi            ",60 min,6.9,"
Add a Plot
",Kyohei Yamaguchi,16
Dong qu dong you lai,(2019),"
Drama            ",110 min,6.4,"
Add a Plot
",Jian Xing,19
Kothaga Maa Prayanam,(2019),"
Comedy, Drama, Romance            ",136 min,6.9,"
    Kothaga Maa Prayanam is about Karthik ""Priyanth"" who is a playboy and doesn't believe in marriage and love. He proposes Keerthi ""Yamini Bhaskar"", a new employee at his office to start a ...                See full summary »
",Ramana Mogili,15
Ashita sekai ga owaru to shitemo,(2019),"
Animation, Drama, Family            ",93 min,5.5,"
    Shin has shut his heart ever since his mother died when he was young. His childhood friend Kotori has been looking after him ever since. Now that they are in the third year of high school, ...                See full summary »
",Yuhei Sakuragi,100
God of the Piano,(2019),"
Drama            ",80 min,7.3,"
    For Anat, music is everything. Having never been able to reach her father's musical standards, she rests her hopes on the child she's about to have. When the baby is born deaf, Anat succumbs to extreme measures to keep the dream alive.",Itay Tal,245
Trang Quynh,(2019),"
Adventure, Comedy            ",98 min,4.1,"
    A clever prankster attempts to exonerate his beloved teacher from a troubling conviction that involves a wily bureaucrat.",Duc Thinh,78
Kuthoosi,(2019),"
Action            ",134 min,5.3,"
    A well-educated youngster drops his plans of settling down in the US to develop agriculture in his village, but faces threat from many people.",Siva Sakthi,33
Dhilluku Dhuddu 2,(2019),"
Comedy, Horror            ",119 min,5.3,"
    Due to the black magic protecting Maya, anyone who falls in love with her ends up mysteriously killed, so Vijay tries to get rid of the magic.",Rambala,495
Ir visi ju vyrai,(2019),"
Comedy, Drama, Romance            ",108 min,7.4,"
    A marriage counsellor, who's own married life fell apart, sets out for new companionship consulted by her daughter and mother.",Donatas Ulvydas,371
Saadi Marzi,(2019),"
Comedy            ",118 min,5.9,"
    The movie is a family story of a Punjabi husband and Hariyanvi mother, and how their son turns out to be very interesting due to cultural differences.",Ajay Chandhok,14
Koko-di Koko-da,(2019),"
Comedy, Fantasy, Horror            ",86 min,6.2,"
    As a couple goes on a trip to find their way back to each other, a sideshow artist and his shady entourage emerge from the woods, terrorizing them, luring them deeper into a maelstrom of psychological terror and humiliating slapstick.",Johannes Nyholm,869
Panth,(2019),"
Drama, Sport            ",132 min,3.8,"
    Eight-year-old Amina is crazy about the game of football to an extent that her friends and family are fed up with it. To pursue her passion, she wants to have a football.",Aadhi,5
Sakala Kalasala,(2019),"
Comedy            ",132 min,6.9,"
    Akbar is a brilliant engineering student. He makes everyone proud when he wins the first prize in a tech fest. However, things take a turn when one of his technical innovation backfires and leaves him into serious trouble.",Vinod Guruvayoor,747
Miszmasz czyli Kogel Mogel 3,(2019),"
Comedy, Romance            ",95 min,3.7,"
Add a Plot
",Kordian Piwowarski,344
Jûni-nin no shinitai kodomo-tachi,(2019),"
Mystery, Thriller            ",117 min,5.7,"
    Twelve kids go into an abandoned hospital to give up on life. In the room where they meet, a boy is already lying dead, and no one knows who he is.",Yukihiko Tsutsumi,506
Seetharama Kalyana,(2019),"
Action, Drama            ",155 min,7.8,"
    Arya is the quintessential Good Samaritan, who lives for the ones he loves most. When he falls in love with innocent small town girl Geetha, he thinks he can have that happily ever after. But fate has a lot of obstacles.",Harsha,1030
3 Days to Go,(2019),"
Drama            ",93 min,7.3,"
    Tells the story of adult siblings who, after the sudden death of their father, are forced to return to their childhood home.",Bianca Isaac,14
A Great Lamp,(2019),"
Drama            ",76 min,7.1,"
    Set in a small riverside town in North Carolina, two sad vandals and an unemployed loner await a fabled rocket launch.",Saad Qureshi,18
Stunt School,(2019),"
Comedy            ",96 min,4.4,"
    Asli is a well-meaning, pure and dreaming girl who wants to be an actress since childhood. She follows her dreams and wins the acting section of a private conservatory. Her family opposes ...                See full summary »
",Ali Yorgancioglu,865
Gakkô-gurashi!,(2019),"
Drama, Horror, Mystery            ",101 min,5.4,"
    Ebisuzawa, Yuki, Mike and Yuri attend the same high school in Japan, but they also know one another because they reside in the school's dormitory. The schoolgirls are fun and having fun ...                See full summary »
",Issei Shibata,82
Klassikokkutulek 3: Ristiisad,(2019),"
Comedy            ",90 min,4.7,"
Add a Plot
",René Vilbre,196
Ai Uta: Yakusoku no Nakuhito,(2019),"
Drama, Romance            ",126 min,4.7,"
    The main character Toru Norimiya who became an adult without having the courage to love depicts what will change as a result of reunion with former Bandman's old friend Takuya Sato and encounter with poetry.",Yasuhiro Kawamura,47
Dev,(2019),"
Action, Adventure, Romance            ",157 min,4.8,"
    Dev, a youngster from a well-to-do family, is an adventure seeker. When his friend playfully tries to set him up with Meghna, a businesswoman who has no time for love, Dev has to embark on an adventure of another kind.",Rajath Ravishankar,716
The Farewell,(I) (2019),"
Comedy, Drama            ",100 min,7.6,"
    A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",Lulu Wang,40407
Aurora,(I) (2019),"
Comedy, Drama, Romance            ",106 min,6.7,"
    Aurora, a commitment-phobic party animal, meets Iranian Darian one night at a hot-dog stand in Lapland. Darian is running from death and Aurora is running from love. They need each other in order to finally stop running.",Miia Tervo,736
The Nikaidos' Fall,(2019),"
Drama            ",106 min,6.2,"
    Tatsuya Nikaido is a middle-aged divorcee who runs an agricultural company and lives in a suburb with his daughter and mother. After his only son's death, he has been pressured by his fate ...                See full summary »
",Ida Panahandeh,25
Seduced by a Killer,(2019),"
Thriller            ",120 min,5.1,"
    Single mother Jessica seems to have a warm relationship with her 18 year old daughter Tessa, until Tessa begins dating an older man who's revealed to have a deadly history with her mother.",Danny Buday,211
Divine Love,(2019),"
Drama, Sci-Fi            ",101 min,6.3,"
    A woman uses her bureaucratic job to convince divorcing couples to stay together is utterly committed to getting pregnant by her husband in a future of dance parties, ritualistic orgies and fundamentalist Christianity.",Gabriel Mascaro,1252
Sora no resutoran,(2019),"
Family            ",126 min,6.4,"
    Wataru, his woman Kotoe and daughter Shiori are ranchers and dairy farmers in Hokkaido in northern Japan. He is following in his father's footsteps. A visiting chef cooks an unforgettable ...                See full summary »
",Yoshihiro Fukagawa,53
Honey Boy,(2019),"
Drama            ",94 min,7.3,"
    A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.",Alma Har'el,18943
Irupathiyonnaam Noottaandu,(2019),"
Action, Adventure, Drama            ",163 min,3.4,"
    Appu a surfer and restaurant owner in Goa has to face many difficulties to succeed in love.",Arun Gopy,416
Simba,(2019),"
Comedy, Drama, Fantasy            ",131 min,5.5,"
    A stoner befriends a Great Dane, who is the pet of his neighbor, and tries to make her fall in love with him.",Arvind Sridhar,133
Ms. Purple,(2019),"
Drama            ",87 min,6.1,"
    A young woman who works as a karaoke hostess in Koreatown reconnects with her estranged brother in the final days of their father's life.",Justin Chon,421
The Challenger Disaster,(2019),"
Drama            ",98 min,6.5,"
    INSPIRED BY THE TRUE STORY On the eve of the Challenger explosion in 1986 one engineer goes to the extreme to stop the launch. This hot-headed engineer makes a desperate race against the ...                See full summary »
",Nathan VonMinden,919
Thackeray,(2019),"
Biography, Drama            ",120 min,5.2,"
    From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.",Abhijit Panse,2653
This Is Not Berlin,(2019),"
Drama            ",115 min,6.6,"
    In the 1980s, an outsider gets invited to a mythical nightclub where he's unleashed to punk, sexual liberty and drugs.",Hari Sama,693
The Boy Who Harnessed the Wind,(2019),"
Drama            ",113 min,7.6,"
    Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",Chiwetel Ejiofor,21998
House of the Gorgon,(2019),"
Horror            ",,4.2,"
    A young woman must save herself and her family when her fiancé unleashes an ancient horror.",Joshua Kennedy,34
The Lodge,(2019),"
Drama, Horror, Thriller            ",108 min,6.0,"
    A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",Severin Fiala,17795
Mirreyes contra Godinez,(2019),"
Comedy            ",109 min,5.2,"
    Tells the story of Genaro Rodríguez, a young godin who has dedicated his life to work at Kuri & Sons and learn from his boss Don Francisco Kuri, who loves him as a son since he knows that ...                See full summary »
",Chava Cartas,1022
Share,(I) (2019),"
Drama, Mystery            ",87 min,5.6,"
    After discovering a disturbing video from a night she doesn't remember, sixteen-year-old Mandy must try to figure out what happened and how to navigate the escalating fallout.",Pippa Bianco,1453
To the Stars,(2019),"
Drama            ",109 min,6.0,"
    Under small town scrutiny, a withdrawn farmer's daughter forges an intimate friendship with a worldly but reckless new girl in 1960s Oklahoma.",Martha Stephens,553
Adam,(I) (2019),"
Comedy            ",95 min,3.4,"
    Awkward teen Adam spends his last high school summer with his big sister, who throws herself into NYC's lesbian and trans activist scene. In this coming-of-age comedy, Adam and those around him encounter love, friendship and hard truths.",Rhys Ernst,1325
I Am Mother,(2019),"
Drama, Mystery, Sci-Fi            ",113 min,6.7,"
    In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",Grant Sputore,66991
The Hole in the Ground,(2019),"
Drama, Horror, Mystery            ",90 min,5.7,"
    A single mother living in the Irish countryside with her son begins to suspect he may not be her son at all, and fears his increasingly disturbing behavior is linked to a mysterious sinkhole in the forest behind their house.",Lee Cronin,13509
Late Night,(2019),"
Comedy, Drama            ",102 min,6.5,"
    A late night talk show host suspects that she may soon lose her long-running show.",Nisha Ganatra,23238
Miss Bala,(2019),"
Action, Crime, Drama            ",104 min,5.7,"
    Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength. Based on the Spanish-language film.",Catherine Hardwicke,7177
"Out of Sight, Out of Mind",(2019),"
Drama            ",131 min,5.5,"
    Travis's tight social group of friends and lovers splits apart when his childhood friend, O'Brien becomes severely mentally ill. Now alone, the characters go their separate ways: Travis ...                See full summary »
",Brian Follmer,22
Loukasmäen Taistelu,(2019),"
Action, Adventure, Drama            ",,5.3,"
Add a Plot
",Eerik Kantokoski,7
The Gandhi Murder,(2019),"
Drama, History            ",138 min,6.6,"
    This is a conspiracy theory period movie based on true events, that led to the eventual assassination of Mohandas Karamchand Gandhi. The movie demonstrates a violent India, at the backdrop ...                See full summary »
",Karim Traïdia,90
Swift,(2019),"
Animation, Adventure, Comedy            ",90 min,5.4,"
    The little swift Manou grows up believing he's a seagull learning to fly he finds out he never will be. When he runs from home he meets birds of his own species and finds out who he really is.",Christian Haas,683
Polar,(I) (2019),"
Action, Crime, Drama            ",118 min,6.3,"
    A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",Jonas Åkerlund,68840
Psycho-Pass: Sinners of the System Case 1 Crime and Punishment,(2019),"
Animation, Action, Crime            ",60 min,6.6,"
    A runaway vehicle crashes into the Public Safety Bureau Building. The driver is identified as Izumi Yasaka, a psychological counselor at the Sanctuary, a Latent Criminal Isolation Facility ...                See full summary »
",Naoyoshi Shiotani,250
Prem Amar 2,(2019),"
Romance            ",,3.5,"
    Prem Amar 2 is the love story of two young souls Apurba (Pujja Cherry Roy) and Joy (Adrit Roy) who meet each other in college and fall in love. Incidentally, they turn out to be neighbours ...                See full summary »
",Bidula Bhattacharjee,52
Vermelha,(2019),"
Drama            ",79 min,6.8,"
Add a Plot
",Getúlio Ribeiro,8
Trhlina,(2019),"
Mystery, Thriller            ",111 min,5.5,"
    Igor, an unemployed university graduate, discovers the psychiatric assessment reports of Walter Fischer. One day seventy years ago, Fischer disappeared under mysterious circumstances while ...                See full summary »
",Peter Bebjak,330
No Coração do Mundo,(2019),"
Drama            ",121 min,7.1,"
    The inhabitants of the Brazilian city of Contagem yearn for a better life. At the core of it all is Selma, a woman dreaming about the heart of the world: it could be anywhere, as long as it's a place where to feel happier.",Gabriel Martins,197
Domains,(2019),"
Drama            ",150 min,6.1,"
    Aki and Naoko are childhood friends who are drifting apart as adults. Immersed in her family life, Naoko now has a husband and daughter; Aki, on the other hand, remains single and is on ...                See full summary »
",Natsuka Kusano,206
Danmarks sønner,(2019),"
Drama, Thriller            ",123 min,6.4,"
    Denmark four years into the future. After a major bomb attack in Copenhagen radicalization and ethnic tensions are running high, and a racist leader is leading the polls.19-year old Zakaria is afraid, wanting to do something.",Ulaa Salim,1239
Matt & Mou,(2019),"
Comedy, Drama, Romance            ",96 min,7.6,"
    Matt and Mou, have been friends since childhood. Their nature is in contradiction. Matt is very protective of Mou, even in choosing her boyfriend. Mou has admirers: Reza. The two become ...                See full summary »
",Monty Tiwa,44
Babushka lyogkogo povedeniya 2,(2019),"
Comedy            ",86 min,3.0,"
Add a Plot
",Marius Balchunas,252
Orang Kaya Baru,(2019),"
Comedy, Drama            ",96 min,6.4,"
    A life of a ordinary family consists of father (Lukman Sardi), mother (Cut Mini) and three children Duta (Derby Romero), Tika (Raline Shah) and Dodi (Fatih Unru) suddenly changed when the father died and left a legacy a lot of wealth.",Ody C. Harahap,380
Kak ya stal russkim,(2019),"
Comedy            ",100 min,4.8,"
Add a Plot
",Xia Hao,226
Narusitel,(2019),"
Drama            ",,4.1,"
Add a Plot
",David Balda,25
Coconut the Little Dragon 2: Into the Jungle,(2019),"
Animation, Adventure, Comedy            ",80 min,5.2,"
    Coconut the Little Dragon goes on a summer camp adventure which turns into a disaster when the wild Water Dragons and carnivorous plants come along to create chaos.",Anthony Power,69
Compromessi sposi,(2019),"
Comedy            ",85 min,4.8,"
Add a Plot
",Francesco Miccichè,173
Tabu: Mengusik Gerbang Iblis,(2019),"
Horror            ",96 min,5.8,"
    When six best high school buddies are cross the forbidden forest and broken all the rules in there, something evil follow their back and causing death among themselves.",Angling Sagaran,16
Those Who Remained,(2019),"
Drama            ",83 min,7.3,"
    A lyrical story of the healing power of love in the midst of national conflict, loss and trauma, Those Who Remained reveals the healing process of Holocaust survivors through the eyes of a young girl in post-World War II Hungary.",Barnabás Tóth,655
Bricked,(2019),"
Drama            ",92 min,5.9,"
    High school grad finds himself in turmoil within his family as he battles coping with Bipolar disorder.",Aleshia Cowser,35
Mr. Majnu,(2019),"
Romance            ",145 min,6.0,"
    A charming playboy who has never had a serious relationship finds himself in a spot of bother when he finally meets the right girl. Will they end up together? Or will his fear of commitment affect their relationship?",Venky Atluri,637
Volki i ovtsy. Khod sviney,(2019),"
Animation, Adventure, Comedy            ",85 min,5.8,"
    Sheep and wolves live a peaceful and quiet life until two unexpected guests turn up. No one expected them to bring a deadly danger, which can be defeated only if they work together.",Vladimir Nikolaev,507
El Hijo Perdido,(2019),"
Comedy            ",90 min,6.8,"
    Después de perder a su hijo hace 30 años, el millonario Sr Sandoval está muy enfermo. Su yerno, que quiere quedarse con la fortuna, convence a Jorgito, un hombre pasando por un momento ...                See full summary »
",Eduardo Ortíz,14
Hotel Paraíso,(2019),"
Comedy            ",93 min,8.2,"
    In the Peruvian desert lies an extravagant hotel filled with endless entertainment where one of the guests, introverted Guillermo, battles to overcome his lack of confidence and his school bully to win the heart of his dream girl.",Daniel Rehder,16
The Seven Last Words,(2019),"
Drama, Music, Musical            ",73 min,5.6,"
    The Seven Last Words sounds out the experiential states and rituals particular to humanity, based on seven themes expressed in an oratorio: forgiveness, hope, relation, abandonment, distress, triumph, and life after the death.",Kaveh Nabatian,7
The Toad,(2019),"
Thriller            ",84 min,7.2,"
    Three short stories connect in a funny, fierce and at times tragic way laced together through the themes of dreams, reincarnation and the supernatural.",Al Rios-Hannon,13
Britt-Marie Was Here,(2019),"
Comedy, Drama, Sport            ",97 min,5.1,"
    Britt-Marie, 63 years old, has just left a 40 year old marriage and her long life as a house wife. Being told she is a nagging passive aggressive aunt, the new, only job, in small town Borg...                See full summary »
",Tuva Novotny,923
After the Wedding,(2019),"
Drama            ",112 min,6.2,"
    A manager of an orphanage in Kolkata travels to New York to meet a benefactor.",Bart Freundlich,4182
Bajo el mismo techo,(2019),"
Comedy            ",97 min,4.5,"
    Nadia and Adrián starts their particular world war when she files to divorce him.",Juana Macías,509
Harpoon,(2019),"
Comedy, Horror            ",83 min,6.0,"
    Rivalries, dark secrets, and sexual tension emerge when three best friends find themselves stranded on a yacht in the middle of the ocean desperate for survival.",Rob Grant,2966
The Last Tree,(2019),"
Drama            ",98 min,6.1,"
    After a happy childhood in the countryside, a teenager moves to London, where he must navigate an unfamiliar environment on his road to adulthood.",Shola Amoo,474
Boi de Lágrimas,(2019),"
Drama            ",65 min,8.6,"
Add a Plot
",Frederico Machado,23
Charlie Chaplin 2,(2019),"
Comedy            ",128 min,3.7,"
    A marriage is in the verge of trouble as the groom sends an abusive message to the bride under the influence of alcohol. Will he able to save the wedding?",Sakthi Chidambaram,213
Beats,(II) (2019),"
Comedy, Crime, Drama            ",101 min,7.2,"
    Two teenage boys in Scotland in 1994, best friends with no control over their lives, risk everything to attend an illegal rave, hoping for the best night of their boring lives.",Brian Welsh,2218
Vals,(2019),"
Thriller            ",97 min,5.0,"
    A girls weekend in a remote cottage in the Ardennes. Relationships are put into focus - do the four girls know everything about each other? The filming of the 'best youth book' of 2012 written by Mel Wallis de Vries.",Dennis Bots,360
Princess Emmy,(2019),"
Animation, Family            ",78 min,5.4,"
    Princess Emmy is a young girl with a secret gift - she is the only one in the Kingdom of Kandis who can speak to horses. Up until now, life for Emmy has been wonderful: exploring and ...                See full summary »
",Piet De Rycker,57
Manikarnika: The Queen of Jhansi,(2019),"
Action, Biography, Drama            ",148 min,6.4,"
    Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.",Radha Krishna Jagarlamudi,8092
The Infiltrators,(2019),"
Drama            ",95 min,5.5,"
    A rag-tag group of undocumented youth - Dreamers - deliberately get detained by Border Patrol in order to infiltrate a shadowy, for-profit detention center.",Cristina Ibarra,147
Skammerens datter II: Slangens gave,(2019),"
Adventure, Drama, Fantasy            ",103 min,5.6,"
    The Shamer's Daughter, Dina, with the magical power of compelling people to admit their most secret shame, must save her family with her newly found father. But he is a Blackmaster, with ...                See full summary »
",Ask Hasselbalch,369
Native Son,(2019),"
Drama            ",104 min,5.7,"
    A young African-American living in Chicago enters into a seductive new world of money and power after he is hired as a chauffeur for an affluent businessman.",Rashid Johnson,1799
Serenity,(2019),"
Drama, Mystery, Thriller            ",106 min,5.3,"
    A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.",Steven Knight,32055
Door in the Woods,(2019),"
Thriller            ",89 min,3.7,"
    Things take a turn for the worst when a small town family finds an abandoned door in the woods. Is this just an abandoned door, or a gateway to something so dark no one sees coming?",Billy Chase Goforth,434
The Best of Dorien B.,(2019),"
Comedy, Drama            ",107 min,6.9,"
Add a Plot
",Anke Blondé,172
Give Me Liberty,(2019),"
Comedy, Drama            ",110 min,6.6,"
    In this freewheeling comedy, medical transport driver Vic risks his job to shuttle a group of rowdy seniors and a Russian boxer to a funeral, dragging clients like Tracy, a young woman with ALS, along for the ride.",Kirill Mikhanovsky,1278
Dau,(2019),"
Biography, Drama, History            ",330 min,4.5,"
    Biographical film, epically depicting the life of the famous scientist Lev Landau.",Ilya Khrzhanovskiy,109
XX Ray III,(2019),"
Sci-Fi            ",109 min,3.4,"
    Directed by Aziz M. Osman, the movie serves as the third installment of the ""XX-Ray"" franchise. It follows three teenagers who are on a mission to save the world from an evil threat.",Aziz M. Osman,5
Cua lai vo bau,(2019),"
Comedy, Family, Romance            ",102 min,6.3,"
    ""Cua Lai Vo Bau"" is a perfect love story of Trong Thoai and Nha Linh. But life was not as dreaming as Nha Linh's ex-girlfriend Quy Khanh suddenly appeared and caused a series of ...                See full summary »
",Nhat Trung,85
Figli del Destino,(2019),"
Biography, History, War            ",92 min,7.1,"
    The story of four Italian children from South to North of the country facing the shame of racial laws and the wave of have generated by Mussolini and Fascism against the Jews.",Francesco Miccichè,19
Extreme Job,(2019),"
Action, Comedy, Crime            ",111 min,7.1,"
    A police undercover operation takes a delicious, unexpected turn.",Byeong-heon Lee,4697
Han Dan,(2019),"
Drama, Family, Romance            ",125 min,7.0,"
    Two young men growing up in Taitung like the same girl. In an act of jealous, they injure each other with fireworks when participating in the Bombing Master Han Dan festival. Unfortunately, this accidentally causes the girl to die as well.",Chao-Liang Huang,81
Born Beautiful,(2019),"
Comedy            ",96 min,6.6,"
    After her best friend dies, Barbs starts a new life as a straight man named Bobby, which leads her to Trisha's ex-boyfriend Michaelangelo, to her own ex-boyfriend Greg and to a woman claiming she is pregnant with Barbs' child.",Perci M. Intalan,60
Mozesh li da Ubivash,(2019),"
Drama            ",100 min,7.2,"
    Seven Bulgarians living in a small town on the Danube river decide to become contract soldiers rangers to get rid of poverty. Their training drills and military maneuvers provoke smiles but...                See full summary »
",Ivan Nichev,12
Dirty God,(2019),"
Drama            ",104 min,6.4,"
    A young British mother struggles to reclaim her life after a brutal acid attack leaves her severely scarred.",Sacha Polak,886
The Secret Men Club,(2019),"
Comedy            ",105 min,6.5,"
    Where some men decide to assemble, and call it ""the secret men's club"", where the dentist helps Adham a group of male friends to join the club, after the escalating relationship with his ...                See full summary »
",Khaled El Halafawy,1259
Pogey Beach,(2019),"
Comedy            ",94 min,7.5,"
    As the weather gets hot and the beers get cold, turn the music on and take some clothes off and head on down to Pogey Beach and let's get this summer started! The party ain't going to stop ...                See full summary »
",Jeremy Larter,14
Char Man,(2019),"
Comedy, Drama, Horror            ",85 min,3.6,"
    Two friends visit fire-ravaged Ojai, California, intent on making a fake documentary about the infamous Ojai Vampire. However, things take a bizarre and frightening turn when they learn about a different local legend: The Char Man.",Kurt Ela,394
Dolphin Kick,(2019),"
Adventure            ",89 min,4.4,"
    On a tropical island vacation, a young boy's friendship with a playful and friendly dolphin helps him find the courage to get back in the water after the sudden loss of his mother.",Philip Marlatt,234
Hell of a Night,(2019),"
Horror, Thriller            ",84 min,3.4,"
    After moving to a new town, a young college student retreats to the country for a weekend of solace when she quickly finds out that she is not alone and needs to fight for her life.",Brian Childs,235
Cecil,(II) (2019),"
Comedy, Family            ",80 min,3.8,"
    It's 1996 and 4th grader, Cecil Stevens, is reminded of his terrible lisp every time he says his name. To avoid social travesty, Cecil decides to change his hard to pronounce name to the ...                See full summary »
",Spenser Fritz,135
Art of Deception,(I) (2019),"
Action, Drama, Thriller            ",90 min,3.5,"
    A scientist studying a deadly virus must fight back when he and his wife are threatened by an organization intent on taking over the world.",Richard Ryan,259
Your Bones and Your Eyes,(2019),"
Drama            ",118 min,6.3,"
    João, a middle-class filmmaker who lives in the city of São Paulo, goes through a series of encounters with people like his long-time friend Irene; his boyfriend Álvaro; Matias, a young man...                See full summary »
",Caetano Gotardo,19
No Sin Unpunished,(2019),"
Horror            ",,6.3,"
    Taryn Melwood is trying to forget her troubled past. But sheriff John Stone, will do anything to keep her dark secret from ruining his life. When Taryn is murdered, the only ones who can give her eternal peace are in danger themselves.",Matt Green,7
Jacqueline I Am Coming,(2019),"
Drama            ",112 min,8.3,"
    When a 40-year-old government employee Kashi Tewary stumbles upon local beauty Jacqueline at a church, he is instantaneously drawn towards her. But, like most love-at-first-sight stories, this one, too, has its fair share of obstacles to overcome.",Banty Dubey,14
Tragam-me a Cabeça de Carmen M.,(2019),"
Drama            ",61 min,6.2,"
    Ana, a Portuguese actress, has come to Rio de Janeiro to play the lead in a film about Carmen Miranda, the eccentric actress and singer who put Brazil on the map for its samba and carnival ...                See full summary »
",Felipe Bragança,23
Bannister DollHouse,(2019),"
Drama, Horror            ",76 min,5.2,"
    A chilling tale of a family at odds against a sinister evil that they don't understand. The Origin of Molly Bannister is here and its more terrifying than you could have imagined.",Mj Dixon,314
A Gschicht über d'Lieb,(2019),"
Drama            ",97 min,7.2,"
    In 1950s Germany, a farmer's children face an excruciating dilemma when the son resists expectations to take over the family farm.",Peter Evers,17
Rakkhosh,(2019),"
Horror            ",128 min,4.7,"
    The movie explores the horrors and fantasies of a patient trapped in a mental asylum.",Abhijit Kokate,130
Calypso,(I) (2019),"
Drama            ",82 min,5.2,"
    When a modern Ulysses, struggling with PTSD, wakes up without memory in a post-apocalyptic desert, an alleged Calypso tries to help him uncover the truth.",Luca Severi,12
Easy Living,(2019),"
Comedy, Drama            ",93 min,8.4,"
    Easy Living is a melancholic coming of age comedy, in which the dramatic, contemporary reality of the migrants is filtered through the eyes of a kid and turned into an adventure.",Orso Miyakawa,12
Space Ninjas,(2019),"
Comedy            ",91 min,3.6,"
    Detention becomes survival for five students trapped in a high school with Space Ninja assassins. This B movie comedy slash horror follows these misfit heroes trying to survive the night from an alien invasion.",Scott McQuaid,103
Van Zùmmere en nie Baang,(2019),"
Drama            ",,6.0,"
Add a Plot
",Daan Blommers,9
Day and Night,(2019),"
Drama            ",134 min,6.6,"
    Koji Akashi's father committed suicide. His father was a whistleblower, involving a large corporation. Koji's family now faces ruin. Kenichi Kitamura works at an orphanage. He approaches ...                See full summary »
",Michihito Fujii,36
Cry for the Bad Man,(2019),"
Horror, Thriller            ",70 min,3.6,"
    A small town widow (Camille Keaton) faces a grisly confrontation with her would-be extortionists.",Sam Farmer,67
Alan and the Fullness of Time,(2019),"
Drama            ",82 min,8.4,"
    What does it mean to stand for what you believe in? Alan Wohlman, a boy sheltered by his mysterious parents and pursued by an ominous government agency, must grow up in a hurry. Aided by ...                See full summary »
",Markus Cook,5
Lonely Hearts,(II) (2019),"
Horror            ",91 min,4.9,"
    A reality TV show has deadly consequences for five single people looking for romance.",Jessica Hunt,90
Wake Up,(II) (2019),"
Horror, Thriller            ",77 min,3.0,"
    When a psychiatric doctor researches a young girls' diary to find out why she murdered her entire family, he begins to fall into the same state of insomnia and confusion that led her to lose her mind.",Joe W Nowland,195
The Shiny Shrimps,(2019),"
Comedy            ",103 min,6.4,"
    Matthias Le Goff, an Olympic champion, makes a homophobic statement on TV. His punishment: coach the Shiny Shrimps, an amateur gay water-polo team. They have only one thing in mind: to qualify for the Gay Games in Croatia.",Maxime Govare,1363
Can I Recognize Your Soul,(2019),"
Drama, Music, Mystery            ",114 min,6.5,"
    As Christine tries to find a relief after her brother's death, she meets Alonzo at the neighborhood basketball court. After finding out that he lost his father 2 years prior, they became ...                See full summary »
",Struggle da Preacher,8
Wish Man,(2019),"
Biography            ",107 min,7.1,"
    One boy's wish changed a man. One man's wish changed the world.",Theo Davies,1350
Ek Nirnay... Swatahacha Swatasathi,(2019),"
Drama            ",141 min,6.4,"
    Every person has to take 'one decision', which would help the person give his life a direction in a way and manner he wishes. This story is about three people, who too had to take one such ...                See full summary »
",Shrirang Deshmukh,12
Jamai Badal,(2019),"
Comedy, Drama            ",140 min,5.0,"
    Gunjan loves to spend time with his best friend Krish and has neglected his love life all this while. What happens when Krish meets Barsha and falls in love with her? Will things be the ...                See full summary »
",Rabi Kinagi,43
Üç Harfliler: Adak,(2019),"
Horror, Thriller            ",91 min,6.6,"
    Salih was shot with a rifle in the forest where he went hunting with his friend Metin. Salih, who had to live with bullets in his brain, needs both material and spiritual help to heal. ...                See full summary »
",Alper Mestçi,393
Krutant,(2019),"
Thriller            ",,6.4,"
    Samyak, a working professional staying in Mumbai, plans a sudden trip to Konkan with his friends. While he wants to drive down to the destination, Samyak's wife suggest he take the bus ...                See full summary »
",Datta Mohan Bhandare,58
