title,year,genre,runtime,rating,synopsis,director,vote
Todo por el ascenso,(2019),"
Comedy, Sport            ",80 min,7.2,"
    The Final Football Match will be between ""Club Gimnasia y Esgrima de Mendoza"" and ""Club Atletico Saavedra"". The winning team will be promoted. For Nestor (Ariel Perez de María) and Rafa (...                See full summary »
",Jorge Piwowarski,15
Hacer la vida,(2019),"
Drama            ",,3.6,"
Add a Plot
",Alejandra Marino,5
Tellers,(2019),"
Mystery            ",118 min,3.9,"
    An aging detective comes out of retirement when the events around his grandson's suicide suggest foul play.",Joe Black,7
Bender,(III) (2019),"
Adventure            ",,1.0,"
    It all started in 1919, when young Ostap Transdanubus met Ibrahim Bender. It is a swindler, a swindler and a Turkish citizen. They were joined by an incredible adventure - the pursuit of a ...                See full summary »
",Yuri Kolokolnikov,9
Doppel,(2019),"
Horror            ",84 min,3.8,"
    Recent empty nesters set out to shoot footage for a 25th anniversary video, when tragic past events begin to haunt them in ways they could not have imagined.",Kevin Hicks,52
20th century,(2019),"
Drama            ",90 min,5.0,"
    Toronto, 1899. Aspiring young politician Mackenzie King dreams of becoming the Prime Minister of Canada. But he hesitates in love between a British soldier and a French-Canadian nurse, King...                See full summary »
",Matthew Rankin,8
Donna,(I) (2019),"
Drama            ",110 min,7.0,"
    A young mother's ""American Dream"" turns into a living nightmare, until she finds the inner strength to listen to a voice she hadn't heard before: her own.",Jaret Martino,6
Nothing More Perfect,(2019),"
Drama            ",87 min,5.6,"
    The full attention of everyone - just for a moment in time. Maya is sixteen and tries to find online-fame and understanding through a selfie-live-vlog of suicide notes. She streams ...                See full summary »
",Teresa Hoerl,7
The Blackwell Ghost 3,(2019),"
Horror            ",,7.4,"
    A filmmaker takes a journey to discover a new haunted house and brings along his cameras to document what happens inside. The house,which is plagued by its dark history begins to come alive...                See full summary »
",Turner Clay,37
Adoring,(2019),"
Drama, Family, Romance            ",108 min,5.5,"
    Star-studded holiday ensemble comedy about pets and their owners lives.",Larry Yang,109
